Companies,Primary Industry Code,HQaddress,Latitude,Longitude
Sumo Logic ,Business/Productivity Software,"305 Main Street, Redwood City, CA",37.492685,-122.227751
Stoke Therapeutics ,Drug Discovery,"45 Wiggins Avenue, Bedford, MA",42.481266,-71.264222
StepStone Group ,Private Equity,"450 Lexington Avenue, New York, NY",40.753085,-73.975025
Stealth BioTherapeutics ,Drug Discovery,"275 Grove Street, Newton, MA",42.338592,-71.252317
SQZ Biotech ,Drug Delivery,"200 Arsenal Yards Boulevard, Watertown, MA",42.361614,-71.158605
Squarespace ,Business/Productivity Software,"225 Varick Street, New York, NY",40.728992,-74.005455
Spruce Biosciences ,Drug Discovery,"2001 Junipero Serra Boulevard, Daly City, CA",37.701719,-122.470726
Sprout Social ,Business/Productivity Software,"131 South Dearborn Street, Chicago, IL",41.879805,-87.628907
Sprinklr ,Business/Productivity Software,"29 West 35th Street, New York, NY",40.749832,-73.98556
SpringWorks Therapeutics ,Drug Discovery,"100 Washington Boulevard, Stamford, CT",41.040639,-73.542319
Sotera Health ,Laboratory Services (Healthcare),"9100 South Hills Boulevard, Broadview Heights, OH",41.317536,-81.643892
Sonim Technologies ,Electronics (B2C),"1825 South Grant Street, San Mateo, CA",37.553805,-122.300107
Soliton ,Other Devices and Supplies,"5304 Ashbrook Drive, Houston, TX",29.715425,-95.472813
Snowflake ,Database Software,"450 Concar Drive, San Mateo, CA",37.553739,-122.306808
Snap One Holdings ,Electronics (B2C),"1800 Continental Boulevard, Charlotte, NC",35.129051,-80.930445
SmileDirectClub ,Therapeutic Devices,"414 Union Street, Nashville, TN",36.164945,-86.780951
SiTime ,Other Semiconductors,"5451 Patrick Henry Drive, Santa Clara, CA",37.40994,-121.984066
Singular Genomics ,Drug Discovery,"10931 North Torrey Pines Road, La Jolla, CA",32.901682,-117.242659
SimilarWeb ,Business/Productivity Software,"35 East 21st Street, New York, NY",40.7395,-73.988436
Silvergate Bank ,Regional Banks,"4250 Executive Square, La Jolla, CA",32.874548,-117.214734
Silverback Therapeutics ,Biotechnology,"500 Fairview Avenue North, Seattle, WA",47.623452,-122.334081
Silk Road Medical ,Therapeutic Devices,"1213 Innsbruck Drive, Sunnyvale, CA",37.406369,-122.014792
Signify Health ,Managed Care,"4055 Valley View Lane, Dallas, TX",32.926672,-96.843727
Sigilon Therapeutics ,Drug Delivery,"100 Binney Street, Cambridge, MA",42.365125,-71.080833
Sight Sciences ,Surgical Devices,"4040 Campbell Avenue, Menlo Park, CA",37.479884,-122.180141
ShockWave Medical ,Surgical Devices,"5403 Betsy Ross Drive, Santa Clara, CA",37.409073,-121.981367
Shoals Technologies Group ,Alternative Energy Equipment,"1400 Shoals Way, Portland, TN",36.547545,-86.515887
Shift4 Payments ,Financial Software,"2202 North Irving Street, Allentown, PA",40.640358,-75.450262
Shattuck Labs ,Biotechnology,"1018 West 11th Street, Austin, TX",30.27642,-97.752712
Sera Prognostics ,Diagnostic Equipment,"2749 East Parleys Way, Salt Lake City, UT",40.718081,-111.810729
SentinelOne ,Network Management Software,"444 Castro Street, Mountain View, CA",37.390587,-122.081443
Sensei Biotherapeutics ,Drug Discovery,"1405 Research Boulevard, Rockville, MD",39.091226,-77.177779
SEMrush ,Media and Information Services (B2B),"800 Boylston Street, Boston, MA",42.347297,-71.081458
SelectQuote ,Information Services (B2C),"6800 West, Overland Park, KS",39.02315,-94.669467
Seer ,Decision/Risk Analysis,"3800 Bridge Parkway, Redwood City, CA",37.537721,-122.256237
SciPlay ,Information Services (B2C),"6601 Bermuda Road, Las Vegas, NV",36.069746,-115.155901
Schrödinger ,Business/Productivity Software,"120 West 45th Street, New York, NY",40.757131,-73.983934
Satsuma Pharmaceuticals ,Pharmaceuticals,"400 Oyster Point Boulevard, San Francisco, CA",37.665483,-122.382128
Sana Biotechnology ,Drug Discovery,"188 East Blaine Street, Seattle, WA",47.635048,-122.32647
Ryan Specialty Group ,Insurance Brokers,"Prudential Plaza, 180 North Stetson Avenue, Chicago, IL",41.88531,-87.62213
RxSight ,Therapeutic Devices,"100 Columbia, Aliso Viejo, CA",33.58918,-117.724527
Royalty Pharma ,Biotechnology,"110 East 59th Street, New York, NY",40.762502,-73.969283
Root Insurance ,Automotive Insurance,"80 East Rich Street, Columbus, OH",39.957896,-82.997456
Roblox ,Social/Platform Software,"970 Park Place, San Mateo, CA",37.466799,-122.267418
Robinhood Markets ,Brokerage,"85 Willow Street, Menlo Park, CA",44.485291,-109.110056
Riskified ,Network Management Software,"220 5th Avenue, New York, NY",40.743678,-73.988252
Reynolds Packaging Group ,Metal Containers and Packaging,"1900 West Field Court, Lake Forest, IL",42.241162,-87.893421
REVOLVE ,Internet Retail,"16800 Edwards Road, Cerritos, CA",33.87875,-118.034025
Revolution Medicines ,Biotechnology,"700 Saginaw Drive, Redwood City, CA",37.502487,-122.220366
Reneo ,Drug Discovery,"12230 El Camino Real, San Diego, CA",32.936979,-117.240444
Relay Therapeutics ,Drug Discovery,"399 Binney Street, Cambridge, MA",42.367792,-71.090524
Recursion ,Drug Discovery,"41 South Rio Grande Street, Salt Lake City, UT",40.767841,-111.903846
RAPT Therapeutics ,Drug Discovery,"561 Eccles Avenue, South San Francisco, CA",37.661543,-122.390392
Rapid Micro Biosystems ,Biotechnology,"1001 Pawtucket Boulevard West, Lowell, MA",42.641266,-71.370692
Rani Therapeutics ,Drug Delivery,"2051 Ringwood Avenue, San Jose, CA",37.391627,-121.897525
Rallybio ,Drug Discovery,"234 Church Street, New Haven, CT",41.309495,-72.923596
Rain Therapeutics ,Biotechnology,"8000 Jarvis Avenue, Newark, CA",37.536398,-122.061354
Rackspace Technology ,Systems and Information Management,"1 Fanatical Place, San Antonio, TX",29.507649,-98.393416
Qualtrics ,Business/Productivity Software,"333 West River Park Drive, Provo, UT",40.303408,-111.663805
Pulmonx ,Therapeutic Devices,"700 Chesapeake Drive, Redwood City, CA",37.500514,-122.213413
PubMatic ,Media and Information Services (B2B),"3 Lagoon Drive, Redwood City, CA",37.52595,-122.261878
ProSight Global ,Insurance Brokers,"412 Mount Kemble Avenue, Morristown, NJ",40.770566,-74.503357
Prometheus Biosciences ,Drug Discovery,"9410 Carroll Park Drive, San Diego, CA",32.888864,-117.173302
Progyny ,Other Healthcare Services,"1359 Broadway, New York, NY",40.751797,-73.987767
Progenity ,Laboratory Services (Healthcare),"4330 La Jolla Village Drive, San Diego, CA",32.874512,-117.213464
Procore ,Business/Productivity Software,"6309 Carpinteria Avenue, Carpinteria, CA",34.38366,-119.491515
Privia Health ,Practice Management (Healthcare),"950 North Glebe Road, Arlington, VA",38.881507,-77.116049
Prelude Therapeutics ,Drug Discovery,"200 Powder Mill Road, Wilmington, DE",39.774732,-75.571901
Precision BioSciences ,Biotechnology,"302 East Pettigrew Street, Durham, NC",35.991641,-78.899321
Praxis ,Drug Discovery,"One Broadway, Cambridge, MA",42.36488,-71.078136
PowerSchool Group ,Education and Training Services (B2B),"150 Parkshore Drive, Folsom, CA",38.657773,-121.18871
Poshmark ,Other Services (B2C Non-Financial),"203 Redwood Shores Parkway, Redwood City, CA",37.519019,-122.252558
Poseida Therapeutics ,Drug Discovery,"9390 Towne Center Drive, San Diego, CA",32.877576,-117.209266
PMV Pharma ,Drug Discovery,"8 Clarke Drive, Cranbury, NJ",40.328966,-74.502673
Pliant Therapeutics ,Biotechnology,"260 Littlefield Avenue, San Francisco, CA",37.645543,-122.394438
Pinterest ,Social/Platform Software,"651 Brannan Street, San Francisco, CA",37.775227,-122.399631
Ping Identity ,Network Management Software,"1001 17th Street, Denver, CO",39.748985,-104.993429
Phreesia ,Enterprise Systems (Healthcare),"432 Park Avenue South, 12th Floor, New York, NY",40.744216,-73.983654
Phathom Pharmaceuticals ,Biotechnology,"2150 East Lake Cook Road, Buffalo Grove, IL",42.154231,-87.913365
Pharmaceutical Product Development ,BPO/Outsource Services,"929 North Front Street, Wilmington, NC",34.246216,-77.949807
Petco Animal Supplies ,Specialty Retail,"10850 Via Frontera, San Diego, CA",33.014544,-117.09729
Personalis ,Drug Discovery,"1330 O'Brien Drive, Menlo Park, CA",37.47645,-122.144998
Pennant Group ,Other Healthcare Services,"1675 E Riverside Drive, Eagle, ID",43.685792,-116.333795
Peloton ,Recreational Goods,"140 West 23rd Street, New York, NY",40.743363,-73.994303
Paymentus ,Other Financial Services,"13024 Ballantyne Corporate Place, Charlotte, NC",35.055941,-80.842844
Paycor ,Business/Productivity Software,"4811 Montgomery Road, Cincinnati, OH",39.166559,-84.455936
Passage Bio ,Drug Discovery,"2 Commerce Square, Philadelphia, PA",39.953966,-75.172083
Palomar Holdings ,Property and Casualty Insurance,"7979 Ivanhoe Avenue, La Jolla, CA",32.848694,-117.272174
Palantir Technologies ,Business/Productivity Software,"1555 Blake Street, Denver, CO",39.750401,-104.999618
PagerDuty ,Business/Productivity Software,"600 Townsend Street, San Francisco, CA",37.771706,-122.402683
Pactiv Evergreen ,Holding Companies,"1900 West Field Court, Lake Forest, IL",42.241162,-87.893421
Oyster Point ,Pharmaceuticals,"202 Carnegie Center, Princeton, NJ",40.318199,-74.648988
Owl Rock Capital Corporation ,Asset Management,"399 Park Avenue, New York, NY",40.759315,-73.972086
Outset Medical ,Therapeutic Devices,"1830 Bering Drive, San Jose, CA",37.373736,-121.911968
Outbrain ,Media and Information Services (B2B),"39 West 13th Street, New York, NY",40.736243,-73.996072
Otis ,Electrical Equipment,"1 Carrier Place, Farmington, CT",41.715181,-72.799252
Oscar ,Life and Health Insurance,"75 Varick Street, New York, NY",40.723285,-74.006397
ORIC Pharmaceuticals ,Drug Discovery,"240 East Grand Avenue, South San Francisco, CA",37.652227,-122.398444
Organon & Co. ,Pharmaceuticals,"30 Hudson Street, Jersey City, NJ",40.713026,-74.03394
Oportun ,Consumer Finance,"2 Circle Star Way, San Carlos, CA",37.498017,-122.240686
OneWater Marine ,Specialty Retail,"6275 Lanier Islands Parkway, Buford, GA",34.158938,-83.992781
One Medical ,Clinics/Outpatient Services,"One Embarcadero Center, San Francisco, CA",37.788001,-122.395607
Oncorus ,Drug Discovery,"50 Hampshire Street, Cambridge, MA",42.366887,-71.09283
ON24 ,Business/Productivity Software,"50 Beale Street, San Francisco, CA",37.791674,-122.396869
