Companies,Primary Industry Code,HQaddress,Latitude,Longitude
Foghorn Therapeutics ,Biotechnology,"100 Binney Street, Cambridge, MA",42.365125,-71.080833
Flywire ,Financial Software,"141 Tremont Street, Boston, MA",42.35539,-71.06274
Finch ,Drug Discovery,"200 Inner Belt Road, Somerville, MA",42.377998,-71.084582
FIGS ,Clothing,"2834 Colorado Avenue, Santa Monica, CA",34.032047,-118.46772
Femasys ,Other Devices and Supplies,"3950 Johns Creek Court, Suwanee, GA",34.067981,-84.160096
Fastly ,Systems and Information Management,"PO Box 78266, San Francisco, CA",37.776646,-122.417481
F45 Training ,Leisure Facilities,"801 Barton Springs Road, Austin, TX",30.258911,-97.752543
Exagen ,Laboratory Services (Healthcare),"1261 Liberty Way, Vista, CA",33.137572,-117.23185
EverCommerce ,Financial Software,"3601 Walnut Street, Denver, CO",39.76902,-104.974035
Envista Holdings ,Medical Supplies,"200 S. Kraemer Boulevard, Brea, CA",33.917203,-117.861555
Endeavor ,Media and Information Services (B2B),"9601 Wilshire Boulevard, Beverly Hills, CA",34.067632,-118.403541
Elite Education Group International ,Educational and Training Services (B2C),"25 Robert Pitt Drive, Monsey, NY",41.110625,-74.065788
Elevation Oncology ,Drug Discovery,"888 7th Avenue, New York, NY",40.765127,-73.980608
Edgewise Therapeutics ,Drug Discovery,"3415 Colorado Avenue, Boulder, CO",40.008239,-105.248816
Eargo ,Therapeutic Devices,"1600 Technology Drive, San Jose, CA",37.364414,-121.915276
Dyne Therapeutics ,Drug Discovery,"830 Winter Street, Waltham, MA",42.401866,-71.278271
Dynatrace ,Business/Productivity Software,"1601 Trapelo Road, Waltham, MA",42.417349,-71.258986
Duolingo ,Educational Software,"5900 Penn Avenue, Pittsburgh, PA",40.461901,-79.926786
Dun & Bradstreet ,Media and Information Services (B2B),"103 JFK Parkway, Short Hills, NJ",40.742906,-74.366456
Duckhorn Vineyards ,Beverages,"1000 Lodi Lane, Saint Helena, CA",38.529478,-122.490767
Duck Creek Technologies ,Business/Productivity Software,"22 Boston Wharf Road, Boston, MA",42.350451,-71.046975
DT Midstream ,Energy Transportation,"One Energy Plaza, Detroit, MI",42.347021,-83.060184
Driven Brands ,Automotive,"440 South Church Street, Charlotte, NC",35.225476,-80.848547
Dream Finders Homes ,Construction and Engineering,"14701 Philips Highway, Jacksonville, FL",30.111939,-81.485187
Doximity ,Other Healthcare Technology Systems,"500 3rd Street, San Francisco, CA",37.78108,-122.395844
Dow ,Multi-line Chemicals,"2211 H.H. Dow Way, Midland, MI",43.614498,-84.196915
DoubleVerify ,Business/Productivity Software,"233 Spring Street, New York, NY",40.72569,-74.004874
DoorDash ,"Other Restaurants, Hotels and Leisure","303 2nd Street, San Francisco, CA",37.785292,-122.395566
Diversey ,Other Commercial Products,"1300 Altura Road, Fort Mill, SC",35.087697,-80.96068
DISCO ,Legal Services (B2B),"3700 North Capital of Texas Highway, Austin, TX",30.335401,-97.806241
DigitalOcean ,Systems and Information Management,"101 6th Avenue, New York, NY",40.723173,-74.005154
Digital Brands Group ,Clothing,"537 South Broadway, Los Angeles, CA",34.04731,-118.25166
Design Therapeutics ,Drug Discovery,"6005 Hidden Valley Road, Carlsbad, CA",33.121891,-117.307079
Decibel Therapeutics ,Drug Discovery,"1325 Boylston Street, Boston, MA",42.344465,-71.099169
Day One Biopharmaceuticals ,Drug Discovery,"395 Oyster Point Boulevard, San Francisco, CA",37.662965,-122.38563
Datto ,Systems and Information Management,"101 Merritt 7, Norwalk, CT",41.151269,-73.425606
Datadog ,Business/Productivity Software,"620 8th Avenue, New York, NY",40.756209,-73.9903
Cytek ,Other Devices and Supplies,"46107 Landing Parkway, Fremont, CA",37.488117,-121.94678
Cyteir Therapeutics ,Drug Discovery,"128 Spring Street, Building A, Lexington, MA",42.425304,-71.247656
Cyclerion Therapeutics ,Drug Discovery,"245 First Street, Cambridge, MA",42.363548,-71.078724
CVRx ,Therapeutic Devices,"9201 West Broadway Avenue, Minneapolis, MN",45.121917,-93.376801
Cullinan Oncology ,Drug Discovery,"One Main Street, Cambridge, MA",42.36488,-71.078136
CrowdStrike ,Network Management Software,"150 Mathilda Place, Sunnyvale, CA",37.377838,-122.033386
Coursera ,Educational Software,"381 East Evelyn Avenue, Mountain View, CA",37.386838,-122.060829
Couchbase ,Database Software,"3250 Olcott Street, Santa Clara, CA",37.380337,-121.967745
Cortexyme ,Biotechnology,"269 East Grand Avenue, South San Francisco, CA",37.654585,-122.39978
Corteva Agriscience ,Other Agriculture,"P.O. Box 80735, Wilmington, DE",39.727113,-75.547844
Corsair ,"Computers, Parts and Peripherals","47100 Bayside Parkway, Fremont, CA",37.476251,-121.9376
Core & Main ,Distributors/Wholesale,"1830 Craig Park Court, Saint Louis, MO",38.693236,-90.442108
Confluent ,Business/Productivity Software,"899 West Evelyn, Mountain View, CA",37.395199,-122.079098
Concentrix ,BPO/Outsource Services,"44051 Nobel Drive, Fremont, CA",37.49767,-121.982643
Compass ,Real Estate Services (B2C),"90 Fifth Avenue, New York, NY",40.736338,-73.993603
Coinbase ,Financial Software,"548 Market Street, San Francisco, CA",37.790057,-122.400783
Codiak ,Drug Discovery,"35 CambridgePark Drive, Cambridge, MA",42.394805,-71.143538
Codex DNA ,Discovery Tools (Healthcare),"9535 Waples Street, San Diego, CA",32.902639,-117.182526
CNS Pharmaceuticals ,Drug Discovery,"2100 West Loop South, Houston, TX",29.810336,-95.43942
Cloudflare ,Network Management Software,"101 Townsend Street, San Francisco, CA",37.780226,-122.390466
Chewy ,Internet Retail,"1855 Griffin Road, Dania Beach, FL",26.060232,-80.161491
Checkmate Pharmaceuticals ,Other Pharmaceuticals and Biotechnology,"245 Main Street, Cambridge, MA",42.362644,-71.084966
Change Healthcare ,Enterprise Systems (Healthcare),"100 Airpark Center Drive East, Nashville, TN",36.096749,-86.679957
Certara ,Other Healthcare Technology Systems,"Overlook Center, Princeton, NJ",40.390606,-74.582785
Cerence ,Application Software,"15 Wayside Road, Burlington, MA",42.484317,-71.190901
Century Therapeutics ,Drug Discovery,"3675 Market Street, Philadelphia, PA",39.956516,-75.195267
Castle Biosciences ,Laboratory Services (Healthcare),"505 South Friendswood Drive, Friendswood, TX",29.528343,-95.198079
Casper Sleep ,Home Furnishings,"3 World Trade Center, 175 Greenwich Street, New York, NY",40.710785,-74.011197
Carrier Corporation ,Electrical Equipment,"13995 Pasteur Buulevard, Palm Beach Gardens, FL",26.882154,-80.125063
Caribou Biosciences ,Biotechnology,"2929 7th Street, Berkeley, CA",37.852074,-122.290481
Candel Therapeutics ,Drug Discovery,"117 Kendrick Street, Needham, MA",42.297106,-71.21329
Cambium Networks ,Wireless Communications Equipment,"3800 Golf Road, Rolling Meadows, IL",42.052861,-88.025442
Cabaletta Bio ,Drug Discovery,"2929 Arch Street, Philadelphia, PA",39.957383,-75.182481
C4 Therapeutics ,Drug Discovery,"490 Arsenal Way, Watertown, MA",42.367285,-71.157367
C3.ai ,Business/Productivity Software,"1300 Seaport Boulevard, Redwood City, CA",37.51429,-122.202309
Bumble ,Social/Platform Software,"1105 West, Austin, TX",29.472365,-98.526156
Broadstone Net Lease ,Real Estate Investment Trusts (REITs),"800 Clinton Square, Rochester, NY",43.155523,-77.606135
Bright Health ,Life and Health Insurance,"8000 Norman Center Drive, Minneapolis, MN",44.858355,-93.357391
Brigham Minerals ,Energy Exploration,"5914 West Courtyard Drive, Austin, TX",30.353057,-97.796714
BridgeBio ,Pharmaceuticals,"421 Kipling Street, Palo Alto, CA",37.448401,-122.160519
Bolt Biotherapeutics ,Drug Discovery,"900 Chesapeake Drive, Redwood City, CA",37.501467,-122.214132
Blend ,Financial Software,"415 Kearny Street, San Francisco, CA",37.792014,-122.404449
Black Diamond Therapeutics ,Biotechnology,"One Main Street, 10th Floor, Cambridge, MA",42.36488,-71.078136
BioXcel Therapeutics ,Therapeutic Devices,"555 Long Wharf Drive, New Haven, CT",41.297917,-72.912175
Bioventus ,Diagnostic Equipment,"4721 Emperor Boulevard, Durham, NC",35.877069,-78.840204
Biomea Fusion ,Drug Discovery,"Chamberlain Building, Redwood City, CA",37.462158,-122.235639
Biodesix ,Diagnostic Equipment,"2970 Wilderness Place, Boulder, CO",40.028575,-105.246978
BioAtla ,Drug Discovery,"11085 Torreyana Road, San Diego, CA",32.906641,-117.236854
Bill.com ,Financial Software,"1810 Embarcadero Road, Palo Alto, CA",37.450421,-122.114792
BigCommerce ,Business/Productivity Software,"11305 Four Points, Austin, TX",30.404977,-97.849432
Beyond Meat ,Food Products,"119 Standard Street, El Segundo, CA",33.91688,-118.415024
Berkeley Lights ,Drug Discovery,"5858 Horton Street, Emeryville, CA",37.840254,-122.290696
Bentley Systems ,Construction and Engineering,"685 Stockton Drive, Exton, PA",40.065186,-75.687641
Beam Therapeutics ,Drug Discovery,"26 Landsdowne Street, Cambridge, MA",42.361022,-71.099023
Aziyo Biologics ,Biotechnology,"12510 Prosperity Drive, Silver Spring, MD",39.06141,-76.962567
Ayala Pharmaceuticals ,Biotechnology,"1007 North Orange Street, Wilmington, DE",39.746838,-75.54927
Axcella ,Biotechnology,"840 Memorial Drive, Cambridge, MA",42.363114,-71.115076
Avidity Biosciences ,Drug Discovery,"10975 North Torrey Pines Road, La Jolla, CA",32.903137,-117.24281
Aveanna Healthcare ,Elder and Disabled Care,"400 Interstate North Parkway, Atlanta, GA",33.894426,-84.455989
Avantor ,Specialty Chemicals,"One Radnor Corporate Center, Building One, Suite 200, Radnor, PA",40.855404,-78.275286
Auddia ,"Broadcasting, Radio and Television","5755 Central Avenue, Boulder, CO",40.025449,-105.221624
Atreca ,Biotechnology,"500 Saginaw Drive, Redwood City, CA",37.503381,-122.220492
Athira Pharma ,Drug Discovery,"4000 Mason Road, Seattle, WA",47.610902,-122.336422
Aterian ,Business/Productivity Software,"37 East 18th Street, New York, NY",40.737615,-73.989429
Atea Pharmaceuticals ,Drug Discovery,"125 Summer Street, Boston, MA",42.353123,-71.057423
AssetMark ,Consulting Services (B2B),"1655 Grant Street, Concord, CA",37.974638,-122.031719
Asana ,Business/Productivity Software,"1550 Bryant Street, San Francisco, CA",37.688849,-122.473552
Array Technologies ,Alternative Energy Equipment,"3901 Midway Place North East, Albuquerque, NM",35.149764,-106.599793
Arcutis Biotherapeutics ,Biotechnology,"2945 Townsgate Road, Westlake Village, CA",34.152752,-118.821895
Arconic ,Industrial Supplies and Parts,"201 Isabella Street, Pittsburgh, PA",40.447797,-80.001176
Apria Healthcare Group ,Clinics/Outpatient Services,"7353 Company Drive, Indianapolis, IN",39.66124,-86.078559
AppLovin ,Business/Productivity Software,"1100 Page Mill Road, Palo Alto, CA",37.417783,-122.146376
Applied Therapeutics ,Biotechnology,"545 Fifth Avenue, New York, NY",40.755164,-73.979188
Applied Molecular Transport ,Biotechnology,"1 Tower Place, San Francisco, CA",37.511149,-122.333468
Annexon Biosciences ,Drug Discovery,"180 Kimball Way, South San Francisco, CA",37.650351,-122.392045
Angion ,Drug Discovery,"1700 Montgomery Street, San Francisco, CA",37.805272,-122.404583
Anebulo Pharmaceuticals ,Drug Discovery,"1415 Ranch Road 620 South, Austin, TX",30.348325,-97.96363
Amwell ,Clinics/Outpatient Services,"75 State Street, Boston, MA",42.35863,-71.05534
American Outdoor Brands ,Aerospace and Defense,"1800 North Route Z, Columbia, MO",38.966749,-92.203553
Alzamend Neuro ,Drug Discovery,"3802 Spectrum Boulevard, Tampa, FL",28.056066,-82.41513
ALX Oncology ,Drug Discovery,"866 Malcolm Road, Burlingame, CA",37.600175,-122.373052
AlloVir ,Biotechnology,"139 Main Street, Cambridge, MA",42.362231,-71.082262
Allegro Microsystems ,Application Specific Semiconductors,"955 Perimeter Road, Manchester, NH",42.938341,-71.444326
Alkami ,Financial Software,"5601 Granite Parkway, Plano, TX",33.089808,-96.819098
Aligos Therapeutics ,Biotechnology,"1 Corporate Drive, South San Francisco, CA",37.656791,-122.400851
Alignment Healthcare ,Outcome Management (Healthcare),"1100 West Town and Country Road, Orange, CA",33.775938,-117.863779
Alfi ,Business/Productivity Software,"429 Lenox Avenue, Miami Beach, FL",25.77409,-80.139145
Alector ,Drug Discovery,"151 Oyster Point Boulevard, South San Francisco, CA",37.662347,-122.397294
Albertsons ,Department Stores,"P.O Box 29093, Phoenix, AZ",33.703967,-112.351835
Akoya Biosciences ,Other Healthcare Technology Systems,"100 Campus Drive, Marlborough, MA",42.32515,-71.584898
Akouos ,Drug Discovery,"645 Summer Street, Boston, MA",42.341787,-71.040378
Akero Therapeutics ,Drug Discovery,"170 Harbor Way, South San Francisco, CA",37.65306,-122.40089
Airbnb ,Information Services (B2C),"888 Brannan Street, San Francisco, CA",37.772015,-122.405193
Agrify ,Other Agriculture,"101 Middlesex Turnpike, Burlington, MA",42.485706,-71.220142
Agora ,Communication Software,"2804 Mission College Boulevard, Santa Clara, CA",37.391146,-121.97801
Agilon Health ,Practice Management (Healthcare),"1 World Trade Center, Long Beach, CA",33.767921,-118.199899
Agiliti Health ,Other Healthcare Services,"6625 West 78th Street, Minneapolis, MN",44.861124,-93.36805
Affirm ,Consumer Finance,"650 California Street, San Francisco, CA",37.792937,-122.405207
Aerovate Therapeutics ,Drug Discovery,"200 Berkeley Street, Boston, MA",42.350061,-71.072919
Adaptive Biotechnologies ,Biotechnology,"1551 Eastlake Avenue East, Seattle, WA",47.633101,-122.326054
ACV Auctions ,Media and Information Services (B2B),"640 Ellicott Street, Buffalo, NY",42.895844,-78.868865
Acutus Medical ,Diagnostic Equipment,"2210 Faraday Avenue, Carlsbad, CA",33.135645,-117.279327
Acurx Pharmaceuticals ,Drug Discovery,"22 Camelot Court, White Plains, NY",41.059128,-73.781678
Acumen Pharmaceuticals ,Drug Discovery,"427 Park Street, Charlottesville, VA",38.033118,-78.476633
Accolade ,Managed Care,"660 West Germantown Pike, Plymouth Meeting, PA",40.123668,-75.284684
Academy Sports + Outdoors ,Specialty Retail,"1800 North Mason Road, Katy, TX",29.79931,-95.747748
AbSci ,Drug Discovery,"18105 SouthEast Mill Plain Boulevard, Vancouver, WA",45.614671,-122.48512
908 Devices ,Biotechnology,"645 Summer Street, Boston, MA",42.341787,-71.040378
89bio ,Drug Discovery,"535 Mission Street, San Francisco, CA",37.788856,-122.398106
4DMT ,Biotechnology,"5858 Horton Street, Emeryville, CA",37.840254,-122.290696
1stdibs ,Specialty Retail,"51 Astor Place, New York, NY",40.730182,-73.990461
10x Genomics ,Biotechnology,"6230 Stoneridge Mall Road, Pleasanton, CA",37.694274,-121.921506
